gamma (fraction of the demand of load that can be curtailed) 1
Pi (investment budget) 100e6
Sigma (weighting factor) 9.08
Sbase: 100 MW
param: vAng:= 0.6																		
;
																		
param:	candidate	branch_fbus		branch_tbus	branch_x	branch_scpt	Fmax	IC	max_lines	angmin		angmax
31		5844		5845		0.01778		-56.243		330.6		1138.9		2		0		0
32		5844		5846		0.0131		-76.336		309.7		967.43		2		0		0
33		5844		5847		0.02846		-35.137		271.1		958.58		2		0		0
34		5844		5848		0.03152		-31.726		259.3		955.58		2		0		0
35		5844		5860		0.00446		-224.215		837		1091.32		2		0		0
36		5849		5852		0.0829		-12.063		80.6		338.52		2		0		0
37		5849		5853		0.01756		-56.948		301.5		1724.25		2		0		0
38		5876		5877		0.03547		-28.193		244		3927.55		2		0		0
39		5900		5887		0.00717		-139.47		858.1		1096.24		2		0		0
40		5887		5903		0.02413		-41.442		829.4		5744.18		2		0		0
41		5904		5903		0.027		-37.037		272.7		958.73		2		0		0
42		5903		5905		0.02488		-40.193		204.2		15635.1		2		0		0
43		6479		6485		0.02621		-38.153		197.1		595.45		3		0		0
44		146		1407		0.04045		-24.722		171.3		1330.27		2		0		0
45		4469		4471		0.02053		-48.709		370.7		1304.16		1		0		0
46		462		449		0.01581		-63.251		204		1164.39		2		0		0
47		449		480		0.02454		-40.75		414.3		2337.26		2		0		0
48		449		1087		0.01688		-59.242		206.3		1399.4		2		0		0
49		1831		1830		0.04851		-20.614		227.9		948.19		2		0		0
50		1841		1830		0.00914		-109.409		211.5		1058.03		2		0		0
51		2294		2298		0.02851		-35.075		104		340.84		1		0		0
52		2294		2299		0.02483		-40.274		99.9		334.83		2		0		0
53		2294		2301		0.02437		-41.034		103.9		338.31		1		0		0
54		2294		2302		0.01619		-61.767		99.7		335.91		2		0		0
55		6480		6479		0.02909		-34.376		702.1		1954.38		1		0		0
56		5361		5365		0.03		-33.333		733.3		3794.65		2		0		0
57		3535		3537		0.01861		-53.735		100.2		791.24		2		0		0
58		1		41		0.0881		-11.351		227.9		3110.66		2		0		0
59		1		6539		0.04105		-24.361		271.4		3355.66		1		0		0
60		5		1258		0.01847		-54.142		300.8		1713.45		2		0		0
61		5		1362		0.01921		-52.056		302.2		1826.1		1		0		0
62		1987		2045		0.0381		-26.247		306.2		1286.04		2		0		0
63		2025		2036		0.01629		-61.387		297		1247.4		2		0		0
64		2059		2219		0.04449		-22.477		336		1411.2		1		0		0
65		6487		2060		0.00815		-122.699		606		3859.64		1		0		0
66		2237		2219		0.01657		-60.35		331		1390.2		3		0		0
67		5188		5190		0.01809		-55.279		478.7		1454.61		3		0		0
68		5188		5191		0.02443		-40.933		433.9		1444.1		2		0		0
69		5581		5517		0.00799		-125.156		304.3		1278.06		2		0		0
70		5581		5518		0.00789		-126.743		306.4		1286.88		2		0		0
71		5838		5781		0.01227		-81.5		1227.6		7436.46		1		0		0
72		6411		6424		0.01245		-80.321		289.4		1551		2		0		0
73		6411		6442		0.00994		-100.604		277.7		1777.46		1		0		0
74		6647		6646		0.02375		-42.105		378.1		1431		1		0		0
75		6648		6646		0.01078		-92.764		288		1209.6		2		0		0
76		781		1378		0.00944		-105.932		671.4		3345.37		2		0		0
77		1299		1234		0.01321		-75.7		1186.4		7091.46		1		0		0
78		1299		1283		0.00221		-452.489		1198.6		2651.08		2		0		0
79		1855		1854		0.01922		-52.029		1400		3013.13		1		0		0
80		2235		2234		0.03347		-29.878		753.4		2861.34		2		0		0
81		2685		2684		0.01324		-75.529		1048.8		2930.68		2		0		0
82		2954		2953		0.06041		-16.554		818		2876.5		2		0		0
83		3041		3040		0.03782		-26.441		979.2		2914.34		1		0		0
84		4115		4004		0.01295		-77.22		1010.2		20114.6		1		0		0
85		4016		4115		0.01717		-58.241		1016.9		2404.48		2		0		0
86		4033		4115		0.00197		-507.614		1066.2		1592.53		2		0		0
87		5236		5188		0.01508		-66.313		1200.2		5530.31		1		0		0
88		6283		6280		0.03402		-29.394		623		3788.67		1		0		0
89		6459		6458		0.01986		-50.352		1242.4		2976.13		2		0		0
90		1309		1322		0.00177		-564.972		1098.1		2049.13		2		0		0
91		3672		4115		0.0134		-74.627		1009.2		1160083.9		2		0		0
92		1362		65		0.02599		-38.476		662		4206.64		2		0		0
93		73		127		0.02501		-39.984		695.2		4825.24		1		0		0
94		340		879		0.02337		-42.79		628		3951.31		2		0		0
95		441		449		0.01409		-70.972		668.8		3485.61		2		0		0
96		1050		1067		0.02345		-42.644		637.4		2677.08		3		0		0
97		1067		1066		0.0264		-37.879		1400		3013.13		2		0		0
98		1178		1369		0.00022		-4545.455		2384.4		3244.23		2		0		0
99		1855		1744		0.01217		-82.169		718.2		2853.07		2		0		0
100		1966		2262		0.05426		-18.43		643.2		6078.26		1		0		0
101		1986		1987		0.00772		-129.534		725.4		3046.68		2		0		0
102		2041		1988		0.0165		-60.606		689		2846.22		2		0		0
103		6717		1988		0.004		-250		1440		1753292.11		1		0		0
104		2243		2280		0.02709		-36.914		593.8		4881.25		1		0		0
105		3149		2705		0.00884		-113.122		640.4		2689.68		1		0		0
106		2737		2736		0.02244		-44.563		626		5124.12		1		0		0
107		2878		3160		0.03107		-32.185		625.4		3544.99		1		0		0
108		3006		3101		0.03891		-25.7		663.4		4727.37		1		0		0
109		3069		3091		0.01357		-73.692		654		4466.61		1		0		0
110		3094		3120		0.01826		-54.765		681.8		4414.69		1		0		0
111		3100		3099		0.0125		-80		626.8		2632.56		2		0		0
112		3100		3101		0.01365		-73.26		631		4158.37		1		0		0
113		3679		3673		0.00945		-105.82		611.8		3952.98		1		0		0
114		4068		4096		0.00759		-131.752		765.4		2864.15		2		0		0
115		4366		4365		0.02143		-46.664		897		2895.05		2		0		0
116		4487		4486		0.01892		-52.854		952		2907.96		2		0		0
117		5013		6274		0.03335		-29.985		641.4		786445.3		1		0		0
118		6121		6120		0.02633		-37.979		1243		2976.27		2		0		0
119		6127		6126		0.02128		-46.992		1300		2989.66		1		0		0
120		6283		6276		0.02125		-47.059		617.4		3193.59		1		0		0
121		6459		6276		0.02044		-48.924		659.2		3989.52		1		0		0
122		5303		6539		0.02608		-38.344		271		2240.94		1		0		0
123		6443		6442		0.03292		-30.377		333		1398.6		1		0		0
124		160		5365		0.01416		-70.621		1131.1		6394.52		1		0		0
125		1283		1286		0.03121		-32.041		378.1		1431		2		0		0
126		4096		4098		0.0753		-13.28		203.3		853.86		2		0		0
127		4096		4099		0.05113		-19.558		205.6		863.52		2		0		0
128		3149		3153		0.02535		-39.448		293.4		1232.28		2		0		0
129		5807		5808		0.0284		-35.211		534		14423.81		2		0		0
130		5824		5826		0.02635		-37.951		505.6		1460.93		1		0		0
131		3512		3514		0.02793		-35.804		521.4		9082.42		1		0		0
132		3550		3552		0.01561		-64.061		363.5		1571.19		1		0		0
133		5900		5902		0.0296		-33.784		541.8		3148.22		1		0		0
134		3139		3141		0.00835		-119.76		1553.5		1706.93		1		0		0
135		5555		5556		0.01873		-53.39		767		2078.49		1		0		0
136		1406		1407		0.04045		-24.722		171.3		4683.69		1		0		0
137		1842		1841		0.04116		-24.295		337.1		1415.82		1		0		0
138		2736		2953		0.06865		-14.567		635.2		6513.65		1		0		0
;
																		
param:	bus_num	bus_type	bus_Pd	bus_Qd	bus_Gs	bus_Bs	bus_area	bus_Vm	bus_Va	bus_baseKv	bus_zone	bus_Vmax	bus_Vmin:=
1		1		0.22		0.08		0		0		7		1.0370926		-4.242394		138		1		1.1		0.9
2		1		0		0		0		0		7		1.0370926		-4.242394		13.8		1		1.1		0.9
3		1		0		0		0		0		7		1.0370926		-4.242394		13.8		1		1.1		0.9
4		1		0		0		0		0		7		1.0370926		-4.242394		1		1		1.1		0.9
5		1		79.7		38.66		0		0		7		1.0218551		-11.384533		138		1		1.1		0.9
6		1		0		0		0		0		7		1.0218551		-11.384533		13.8		1		1.1		0.9
7		1		0		0		0		0		7		1.0218551		-11.384533		13.8		1		1.1		0.9
8		1		0		0		0		0		7		1.0218551		-11.384533		1		1		1.1		0.9
9		1		5.9		2.03		0		0		7		1.028601		-3.558826		138		1		1.1		0.9
10		1		0		0		0		0		7		1.028601		-3.558826		13.8		1		1.1		0.9
11		1		0		0		0		0		7		1.028601		-3.558826		13.8		1		1.1		0.9
12		1		0		0		0		0		7		1.028601		-3.558826		1		1		1.1		0.9
13		1		15.3		3.54		0		0		7		1.011557		-12.681401		138		1		1.1		0.9
14		1		0		0		0		0		7		1.011557		-12.681401		13.8		1		1.1		0.9
15		1		0		0		0		0		7		1.011557		-12.681401		13.8		1		1.1		0.9
16		1		0		0		0		0		7		1.011557		-12.681401		1		1		1.1		0.9
17		1		11		2.71		0		0		7		1.0264433		-16.738404		138		1		1.1		0.9
18		1		0		0		0		0		7		1.0264433		-16.738404		13.8		1		1.1		0.9
19		1		0		0		0		0		7		1.0264433		-16.738404		13.8		1		1.1		0.9
20		1		0		0		0		0		7		1.0264433		-16.738404		1		1		1.1		0.9
21		1		8.3		1.88		0		0		7		1.0251749		-6.828781		138		1		1.1		0.9
22		1		0		0		0		0		7		1.0251749		-6.828781		22		1		1.1		0.9
23		1		0		0		0		0		7		1.0251749		-6.828781		22		1		1.1		0.9
24		1		0		0		0		0		7		1.0251749		-6.828781		1		1		1.1		0.9
25		1		7.3		2.11		0		0		7		1.0260746		-6.831657		138		1		1.1		0.9
26		1		0		0		0		0		7		1.0260746		-6.831657		13.8		1		1.1		0.9
27		1		0		0		0		0		7		1.0260746		-6.831657		13.8		1		1.1		0.9
28		1		0		0		0		0		7		1.0260746		-6.831657		1		1		1.1		0.9
29		1		7.7		2.03		0		0		7		1.0279168		-8.722837		138		1		1.1		0.9
30		1		0		0		0		0		7		1.0279168		-8.722837		13.8		1		1.1		0.9
31		1		0		0		0		0		7		1.0279168		-8.722837		13.8		1		1.1		0.9
32		1		0		0		0		0		7		1.0279168		-8.722837		1		1		1.1		0.9
33		1		7.5		1.8		0		0		7		1.0164845		-10.439684		138		1		1.1		0.9
34		1		0		0		0		0		7		1.0164845		-10.439684		13.8		1		1.1		0.9
35		1		0		0		0		0		7		1.0164845		-10.439684		13.8		1		1.1		0.9
36		1		0		0		0		0		7		1.0164845		-10.439684		1		1		1.1		0.9
37		1		4.25		0.68		0		0		7		1.032465		-7.927104		138		1		1.1		0.9
38		1		0		0		0		0		7		1.032465		-7.927104		13.8		1		1.1		0.9
39		1		0		0		0		0		7		1.032465		-7.927104		13.8		1		1.1		0.9
40		1		0		0		0		0		7		1.032465		-7.927104		1		1		1.1		0.9
41		1		2.56		0.53		0		0		7		1.0306011		-5.898392		138		1		1.1		0.9
42		1		0		0		0		0		7		1.0306011		-5.898392		24		1		1.1		0.9
43		1		0		0		0		0		7		1.0306011		-5.898392		24		1		1.1		0.9
44		1		0		0		0		0		7		1.0306011		-5.898392		1		1		1.1		0.9
45		1		1.73		0.53		0		0		7		1.0287298		-8.189099		138		1		1.1		0.9
46		1		0		0		0		0		7		1.0287298		-8.189099		13.8		1		1.1		0.9
47		1		0		0		0		0		7		1.0287298		-8.189099		13.8		1		1.1		0.9
48		1		0		0		0		0		7		1.0287298		-8.189099		1		1		1.1		0.9
49		1		3.09		0.3		0		0		7		1.0246793		-5.885151		138		1		1.1		0.9
50		1		0		0		0		0		7		1.0246793		-5.885151		18		1		1.1		0.9
51		1		0		0		0		0		7		1.0246793		-5.885151		18		1		1.1		0.9
52		1		0		0		0		0		7		1.0246793		-5.885151		1		1		1.1		0.9
53		1		4.25		0.68		0		0		7		1.0261359		-6.415464		138		1		1.1		0.9
54		1		0		0		0		0		7		1.0261359		-6.415464		13.8		1		1.1		0.9
55		1		0		0		0		0		7		1.0261359		-6.415464		13.8		1		1.1		0.9
56		1		0		0		0		0		7		1.0261359		-6.415464		1		1		1.1		0.9
57		1		0.61		0.21		0		0		7		1.0273869		-7.223056		138		1		1.1		0.9
58		1		0		0		0		0		7		1.0273869		-7.223056		24		1		1.1		0.9
59		1		0		0		0		0		7		1.0273869		-7.223056		24		1		1.1		0.9
60		1		0		0		0		0		7		1.0273869		-7.223056		1		1		1.1		0.9
61		1		1.58		0.38		0		0		7		1.027713		-6.530545		138		1		1.1		0.9
62		1		0		0		0		0		7		1.027713		-6.530545		18		1		1.1		0.9
63		1		0		0		0		0		7		1.027713		-6.530545		18		1		1.1		0.9
64		1		0		0		0		0		7		1.027713		-6.530545		1		1		1.1		0.9
65		1		3.24		1.05		0		0		7		1.0230903		-12.10872		138		1		1.1		0.9
66		1		0		0		0		0		7		1.0230903		-12.10872		24		1		1.1		0.9
67		1		0		0		0		0		7		1.0230903		-12.10872		24		1		1.1		0.9
68		1		0		0		0		0		7		1.0230903		-12.10872		1		1		1.1		0.9
69		1		10.4		2.26		0		0		7		1.021806		-9.693303		138		1		1.1		0.9
70		1		0		0		0		0		7		1.021806		-9.693303		13.8		1		1.1		0.9
71		1		0		0		0		0		7		1.021806		-9.693303		13.8		1		1.1		0.9
72		1		0		0		0		0		7		1.021806		-9.693303		1		1		1.1		0.9
73		1		5.7		1.13		0		0		7		1.0255971		-7.171018		138		1		1.1		0.9
74		1		0		0		0		0		7		1.0255971		-7.171018		13.8		1		1.1		0.9
75		1		0		0		0		0		7		1.0255971		-7.171018		13.8		1		1.1		0.9
76		1		0		0		0		0		7		1.0255971		-7.171018		1		1		1.1		0.9
77		1		2.41		0.45		0		0		7		1.0217643		-8.017345		138		1		1.1		0.9
78		1		0		0		0		0		7		1.0217643		-8.017345		18		1		1.1		0.9
79		1		0		0		0		0		7		1.0217643		-8.017345		18		1		1.1		0.9
80		1		0		0		0		0		7		1.0217643		-8.017345		1		1		1.1		0.9
81		1		4.7		0.22		0		0		7		1.0146134		-4.139481		138		1		1.1		0.9
82		1		0		0		0		0		7		1.0146134		-4.139481		24		1		1.1		0.9
83		1		0		0		0		0		7		1.0146134		-4.139481		24		1		1.1		0.9
84		1		0		0		0		0		7		1.0146134		-4.139481		1		1		1.1		0.9
85		1		4.07		1.05		0		0		7		1.0283858		-9.319997		138		1		1.1		0.9
86		1		0		0		0		0		7		1.0283858		-9.319997		18		1		1.1		0.9
87		1		0		0		0		0		7		1.0283858		-9.319997		18		1		1.1		0.9
88		1		0		0		0		0		7		1.0283858		-9.319997		1		1		1.1		0.9
89		1		3.89		0.38		0		0		7		1.0239356		-2.364095		138		1		1.1		0.9
90		1		0		0		0		0		7		1.0239356		-2.364095		18		1		1.1		0.9
91		1		0		0		0		0		7		1.0239356		-2.364095		18		1		1.1		0.9
92		1		0		0		0		0		7		1.0239356		-2.364095		1		1		1.1		0.9
93		1		0.58		0.14		0		0		7		1.009535		-3.536299		138		1		1.1		0.9
94		1		0		0		0		0		7		0.9650575		-6.973774		13.8		1		1.1		0.9
95		1		0		0		0		0		7		0.9650575		-6.973774		13.8		1		1.1		0.9
96		1		115		75.2		0		0		7		0.9650575		-6.973774		1		1		1.1		0.9
97		1		1.95		0.45		0		0		7		1.01813		-4.531549		138		1		1.1		0.9
98		1		0		0		0		0		7		1.01813		-4.531549		13.8		1		1.1		0.9
99		1		0		0		0		0		7		1.01813		-4.531549		13.8		1		1.1		0.9
100		1		0		0		0		0		7		1.01813		-4.531549		1		1		1.1		0.9
101		1		0.99		0.3		0		26.6		7		1.0337231		-1.639254		138		1		1.1		0.9
102		1		0		0		0		0		7		1.0337231		-1.639254		13.8		1		1.1		0.9
103		1		0		0		0		0		7		1.0337231		-1.639254		13.8		1		1.1		0.9
104		1		0		0		0		0		7		1.0337231		-1.639254		1		1		1.1		0.9
105		1		4.8		0.3		0		0		7		1.0279726		-3.325632		138		1		1.1		0.9
106		1		0		0		0		0		7		1.0279726		-3.325632		18		1		1.1		0.9
107		1		0		0		0		0		7		1.0279726		-3.325632		18		1		1.1		0.9
108		1		0		0		0		0		7		1.0279726		-3.325632		1		1		1.1		0.9
109		1		0.09		0.01		0		36.9		7		1.0356752		-10.632944		138		1		1.1		0.9
110		1		0		0		0		0		7		1.0356752		-10.632944		13.8		1		1.1		0.9
111		1		0		0		0		0		7		1.0356752		-10.632944		13.8		1		1.1		0.9
112		1		0		0		0		0		7		1.0356752		-10.632944		1		1		1.1		0.9
113		1		0.66		0.22		0		0		7		1.0361981		-3.69265		138		1		1.1		0.9
114		1		0		0		0		0		7		1.0361981		-3.69265		18		1		1.1		0.9
115		1		0		0		0		0		7		1.0361981		-3.69265		18		1		1.1		0.9
116		1		0		0		0		0		7		1.0361981		-3.69265		1		1		1.1		0.9
117		1		4.7		0.75		0		0		7		1.0137923		-4.654491		138		1		1.1		0.9
118		1		0.63		0.22		0		0		7		1.0281398		-8.976583		138		1		1.1		0.9
119		1		1.95		0.68		0		0		7		1.0163975		-8.70442		138		1		1.1		0.9
120		1		2.18		0.6		0		0		7		1.0247547		-5.868602		138		1		1.1		0.9
121		1		0.49		0.16		0		0		7		1.0221353		-6.308827		138		1		1.1		0.9
122		1		0.92		0.3		0		0		7		1.0242146		-0.746418		138		1		1.1		0.9
123		1		111.14		79.15		0		0		7		1.0061513		-13.423177		138		1		1.1		0.9
124		1		0.46		0.09		0		0		7		1.0378097		-7.943878		138		1		1.1		0.9
125		1		26.8		4.33		0		0		7		1.0225243		-9.856426		138		1		1.1		0.9
126		1		0		0		0		76.84		7		1.0352994		-2.444048		345		1		1.1		0.9
127		1		222.5		81.8		0		0		7		1.0269539		-5.369169		138		1		1.1		0.9
128		1		41.4		6.7		0		0		7		1.0244504		-7.196909		138		1		1.1		0.9
129		1		37.7		8.26		0		0		7		1.0304784		-19.011627		138		1		1.1		0.9
130		1		10.3		1.13		0		0		7		1.0227884		-10.747621		138		1		1.1		0.9
131		1		15.5		2.56		0		0		7		1.0352043		-16.1641		138		1		1.1		0.9
132		1		100.5		9.37		0		0		7		1.0208398		-11.418891		138		1		1.1		0.9
133		1		6.3		1.95		0		0		7		1.0242185		-4.916247		138		1		1.1		0.9
134		1		4.6		0.6		0		0		7		1.0248284		-7.077261		138		1		1.1		0.9
135		1		21.8		6.7		0		0		7		1.0199411		-7.775494		138		1		1.1		0.9
136		1		9.5		3.09		0		0		7		1.0246454		-1.200824		138		1		1.1		0.9
137		1		14.2		2.34		0		0		7		1.0288302		-16.894875		138		1		1.1		0.9
138		1		14.9		5.3		0		0		7		1.0190875		-7.207088		138		1		1.1		0.9
139		1		0.48		0.08		0		0		7		1.0355376		-3.234422		138		1		1.1		0.9
140		1		9.4		1.35		0		0		7		1.0296379		-17.492167		138		1		1.1		0.9
141		1		18.1		4.97		0		0		7		1.0342354		-17.613456		138		1		1.1		0.9
142		1		21.46		16.5		0		0		7		1.0235715		-18.774772		138		1		1.1		0.9
143		1		6.3		0.9		0		0		7		1.0339228		-17.572352		138		1		1.1		0.9
144		1		68.94		33.9		0		100.8		7		1.0361035		-18.465273		138		1		1.1		0.9
145		1		1.88		0.38		0		0		7		1.0183737		-14.335278		138		1		1.1		0.9
146		1		0.96		0.22		0		0		7		1.024069		-14.106964		138		1		1.1		0.9
147		1		6.5		0.83		0		0		7		1.0263652		-19.336737		138		1		1.1		0.9
148		1		2.86		0.22		0		0		7		1.0273558		-17.322596		138		1		1.1		0.9
149		1		9.8		3.54		0		0		7		1.0321019		-17.595789		138		1		1.1		0.9
150		1		5.2		1.58		0		0		7		1.0307262		-18.853149		138		1		1.1		0.9
151		1		6.4		2.03		0		0		7		1.0211007		-11.130863		138		1		1.1		0.9
152		1		4.07		0.53		0		0		7		1.0283193		-17.111376		138		1		1.1		0.9
153		1		5.4		1.95		0		0		7		1.0265381		-19.65076		138		1		1.1		0.9
154		1		5.7		1.73		0		0		7		1.0326501		-12.465369		138		1		1.1		0.9
155		1		4.9		1.73		0		36.6		7		1.0307626		-13.454996		138		1		1.1		0.9
156		1		4.6		0.75		0		0		7		1.0304511		-16.752469		138		1		1.1		0.9
157		1		6.3		0.68		0		0		7		1.0237512		-15.875959		138		1		1.1		0.9
158		1		2.86		0.75		0		0		7		1.0235006		-20.967789		138		1		1.1		0.9
159		1		2.79		0.98		0		0		7		1.0350268		-16.715546		138		1		1.1		0.9
160		1		0		0		0		45.83		7		1.0386225		-11.576647		345		1		1.1		0.9
161		1		11.14		6.62		0		0		7		1.0385311		-14.697859		138		1		1.1		0.9
162		1		0		0		0		0		7		1.0238628		-24.819294		138		1		1.1		0.9
163		1		42.1		12.6		0		0		7		1.0189009		-27.264507		69		1		1.1		0.9
164		1		30.2		11.5		0		0		7		1.0095404		-27.873217		69		1		1.1		0.9
165		1		0		0		0		0		7		1.0134259		-24.083319		138		1		1.1		0.9
166		1		37.9		5.7		0		0		7		1.0190849		-27.31314		69		1		1.1		0.9
167		1		25.7		3.24		0		0		7		1.0162719		-27.996859		69		1		1.1		0.9
168		1		26.4		5.6		0		0		7		1.0070288		-28.481245		69		1		1.1		0.9
169		1		0		0		0		0		7		1.0198031		-25.935223		138		1		1.1		0.9
170		1		40.2		11		0		0		7		1.0255017		-27.964901		69		1		1.1		0.9
171		1		4.9		1.58		0		0		7		1.0154656		-27.70895		69		1		1.1		0.9
172		1		0		0		0		0		7		1.004735		-25.755245		138		1		1.1		0.9
173		1		54.7		11.6		0		0		7		1.007324		-27.824013		69		1		1.1		0.9
174		1		0		0		0		0		7		1.0198586		-25.573047		138		1		1.1		0.9
175		1		43.1		11.7		0		0		7		1.0045898		-28.231907		69		1		1.1		0.9
176		1		0		0		0		0		7		1.0095317		-25.039593		138		1		1.1		0.9
177		1		76.9		18.75		0		0		7		1.0120652		-27.357591		69		1		1.1		0.9
178		1		33.3		10.3		0		140.2		7		1.028912		-28.16171		69		1		1.1		0.9
179		1		23.4		7.1		0		0		7		1.0118046		-28.080469		69		1		1.1		0.9
180		1		10		2.18		0		0		7		1.021232		-25.487166		69		1		1.1		0.9
181		1		17.2		10.58		0		0		7		1.0210098		-25.027415		69		1		1.1		0.9
182		1		6.4		1.95		0		0		7		1.0183715		-25.676378		69		1		1.1		0.9
183		1		9.2		3.31		0		0		7		1.0236602		-25.460249		69		1		1.1		0.9
184		1		5.3		1.28		0		0		7		1.0219001		-25.457192		69		1		1.1		0.9
185		1		3.89		1.13		0		0		7		1.0292835		-24.287306		69		1		1.1		0.9
186		1		5.3		0.83		0		0		7		1.0283577		-24.628186		69		1		1.1		0.9
187		1		16.9		7.94		0		28.6		7		1.023763		-25.437645		69		1		1.1		0.9
188		1		0		0		0		0		7		1.0260315		-21.478678		138		1		1.1		0.9
189		1		7.9		1.2		0		0		7		1.0337614		-24.606566		69		1		1.1		0.9
190		1		0		0		0		0		7		1.0274858		-22.137851		18		1		1.1		0.9
191		1		0		0		0		0		7		1.0274858		-22.137851		1		1		1.1		0.9
192		1		6.4		1.58		0		0		7		1.0216758		-25.412298		69		1		1.1		0.9
193		1		5.7		1.43		0		0		7		1.0198251		-25.04627		69		1		1.1		0.9
194		1		3.61		0.15		0		93.3		7		1.0270579		-25.501707		69		1		1.1		0.9
195		1		4.8		1.5		0		0		7		1.0323061		-25.426055		69		1		1.1		0.9
196		1		2.41		0.53		0		0		7		1.0253178		-25.435054		69		1		1.1		0.9
197		1		8		2.71		0		0		7		1.0210061		-24.94877		69		1		1.1		0.9
198		1		16.1		8.28		0		0		7		1.0179648		-25.223755		69		1		1.1		0.9
199		1		4.8		1.5		0		0		7		1.0296429		-24.712413		69		1		1.1		0.9
200		1		7.3		2.11		0		0		7		1.0207218		-25.387166		69		1		1.1		0.9
201		1		4.42		0.9		0		0		7		1.0200662		-24.974879		69		1		1.1		0.9
202		1		3.24		0.68		0		0		7		1.0208544		-25.304259		69		1		1.1		0.9
203		1		3.01		0.22		0		0		7		1.0334607		-24.969872		69		1		1.1		0.9
204		1		1.33		0.3		0		0		7		1.0297045		-25.240109		69		1		1.1		0.9
205		1		3.69		0.6		0		0		7		1.0226311		-25.365195		69		1		1.1		0.9
206		1		5.8		1.5		0		10.6		7		1.0292195		-24.372969		69		1		1.1		0.9
207		1		3.89		0.83		0		0		7		1.0292963		-25.416856		69		1		1.1		0.9
208		1		5.3		0.75		0		0		7		1.0197688		-25.196776		69		1		1.1		0.9
209		1		8		2.94		0		0		7		1.0275301		-25.248403		69		1		1.1		0.9
210		1		7.5		1.8		0		0		7		1.0268852		-24.936626		69		1		1.1		0.9
211		1		5.3		1.95		0		0		7		1.0224443		-24.724874		69		1		1.1		0.9
212		1		63.7		41.6		0		0		7		1.0042994		-19.482255		138		1		1.1		0.9
213		1		6.8		2.34		0		0		7		1.0294328		-24.244283		69		1		1.1		0.9
214		1		4.9		1.73		0		0		7		1.0266987		-24.609098		69		1		1.1		0.9
215		1		5.4		1.43		0		0		7		1.0290654		-24.672857		69		1		1.1		0.9
216		1		8.7		2.34		0		0		7		1.0204687		-25.090699		69		1		1.1		0.9
217		1		7		2.11		0		0		7		1.0248024		-24.563175		69		1		1.1		0.9
218		1		4.33		1.2		0		0		7		1.0297345		-24.607333		69		1		1.1		0.9
219		1		3.69		1.13		0		0		7		1.0289312		-24.493626		69		1		1.1		0.9
220		1		3.89		0.75		0		0		7		1.0298491		-24.717247		69		1		1.1		0.9
221		1		1.95		0.45		0		0		7		1.0333118		-24.562876		69		1		1.1		0.9
222		1		3.39		1.2		0		0		7		1.0342318		-25.001541		69		1		1.1		0.9
223		1		7.4		2.64		0		0		7		1.0297728		-24.844877		69		1		1.1		0.9
224		1		3.8		1.2		0		86.4		7		1.0337413		-25.534532		69		1		1.1		0.9
225		1		5.6		0.15		0		0		7		1.0315494		-24.887212		69		1		1.1		0.9
226		1		6		1.05		0		0		7		1.0285425		-24.487799		69		1		1.1		0.9
